source,author,title,description,url,urlToImage,publishedAt,content
the-verge,Justine Calma,The climate controversy swirling around NFTs,"Most NFTs are bought and sold with Ethereum, a cryptocurrency that guzzles up energy and pumps out a lot of greenhouse gas emissions. Artists are fighting over whether there can be a more sustainable future for crypto art.",https://www.theverge.com/2021/3/15/22328203/nft-cryptoart-ethereum-blockchain-climate-change,https://cdn.vox-cdn.com/thumbor/pYrvxU6TUFVYkAwb6h1U4BPYMj0=/0x431:6000x3572/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22366636/1230723200.jpg,2021-03-15T13:51:11Z,"Famed auction house Christies just sold its first purely digital piece of art for a whopping $69 million. For that price, the buyer got a digital file of a collage of 5,000 images and a complex legac… [+12891 chars]"
wired,Steven Levy,"Bill Gates Is Upbeat on Climate, Capitalism, and Even Politics","The technologist and philanthropist goes beyond his recent book to talk about climate denial, vaccines, and David Foster Wallace.",https://www.wired.com/story/bill-gates-is-upbeat-on-climate-capitalism-and-even-politics/,"https://media.wired.com/photos/6052427c83386362717d5327/191:100/w_1280,c_limit/Science_billgatesQA_1183201315.jpg",2021-03-18T11:00:00Z,"Are yousureit won't be a decision made by you?
I'm quite sure it won't be made by me. I'm not going to push this thing. I'm pushing the more rational, Hey, just change the way you make steel. Let's … [+3704 chars]"
wired,Tim O'Reilly,Climate Change Will Reshape Silicon Valley As We Know It,The next entrepreneurial revolution will arise to combat the crisis of our lifetime.,https://www.wired.com/story/climate-change-silicon-valley/,"https://media.wired.com/photos/604015bbedc8f363fb9c7f8a/191:100/w_1280,c_limit/OpEd-Reshape-Climate-Tech-587183344.jpg",2021-03-08T14:13:13Z,"High-profile entrepreneurs like Elon Musk, venture capitalists like Peter Thiel and Keith Rabois, and big companies like Oracle and HP Enterprise are all leaving California. During Covid-19, Zoom-ena… [+4039 chars]"
mashable,Mark Kaufman,The EPA's climate webpage got axed. Now it's back.,"The Trump administration deleted the U.S. Environmental Protection Agency's main climate change webpage on Oct. 16, 2018Now, it's back.
The EPA announced Thursday that it rebooted its climate webpage, which includes information about how the climate is warmin…",https://mashable.com/article/epa-climate-change-webpage/,https://mondrian.mashable.com/2021%252F03%252F19%252Fe3%252F7cecebb9868d416490e691f6e875ce1c.187e9.jpg%252F1200x630.jpg?signature=oOz00jCzVRuHwhhXSbWNlib3Hos=,2021-03-19T17:35:59Z,"The Trump administration deleted the U.S. Environmental Protection Agency's main climate change webpage on Oct. 16, 2018. Now, it's back.
The EPA announced Thursday that it rebooted its climate webp… [+3602 chars]"
techcrunch,Jonathan Shieber,The Department of Defense is establishing a working group to focus on climate change,"The U.S. Department of Defense is setting up a working group to focus on climate change The new group will be led by Joe Bryan, who was appointed as a Special Assistant to the Secretary of Defense focused on climate earlier this year. The move is one of sever…",http://techcrunch.com/2021/03/10/the-department-of-defense-is-establishing-a-working-group-to-focus-on-climate-change/,https://techcrunch.com/wp-content/uploads/2019/10/GettyImages-74065771-1.jpg?w=600,2021-03-10T21:12:13Z,"The U.S. Department of Defense is setting up a working group to focus on climate change
The new group will be led by Joe Bryan, who was appointed as a Special Assistant to the Secretary of Defense f… [+1970 chars]"
techcrunch,Jonathan Shieber,Firms backed by Robert Downey Jr. and Bill Gates have funded an electric motor company that slashes energy consumption,"Sometimes the smallest innovations can have the biggest impacts on the world’s efforts to stop global climate change. Arguably, one of the biggest contributors in the fight against climate change to date has been the switch to the humble LED light, which has …",http://techcrunch.com/2021/03/03/firms-backed-by-robert-downey-jr-and-bill-gates-have-funded-an-electric-motor-company-that-can-slas/,https://techcrunch.com/wp-content/uploads/2021/01/GettyImages-1211062669.jpg?w=601,2021-03-03T11:13:59Z,"Sometimes the smallest innovations can have the biggest impacts on the world’s efforts to stop global climate change. Arguably, one of the biggest contributors in the fight against climate change to … [+5142 chars]"
engadget,https://www.engadget.com/about/editors/andrew-tarantola,Hitting the Books: Bill Gates on why we can't have electric airplanes,"In his new book, tech luminary Bill Gates lays out his comprehensive plan to halt the oncoming environmental apocalypse, blunt the effects of human-caused climate change, and keep Earth habitable for the next generation.",https://www.engadget.com/hitting-the-books-how-to-avoid-a-climate-disaster-bill-gates-penguin-randomhouse-123044673.html,https://s.yimg.com/os/creatr-images/2020-04/a28fa260-89f0-11ea-bd3a-f0314789cd21,2021-03-20T15:30:44Z,"The renaissance of electrification that we're seeing in passenger vehicles unfortunately won't likely adapted to heavier forms of transportation such as airplanes, cargo ships and semi tractor traile… [+6823 chars]"
,A.A. Newton,Upgrade Your Gardening Skills With This Free Program,"Gardening is all about experience, which makes getting started more than a little intimidating. Even something as simple as planting tomatoes brings up a million questions if you haven’t done it before: Do I need a raised bed? When should the seeds go in the …",https://lifehacker.com/upgrade-your-gardening-skills-with-this-free-program-1846538654,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c53u9zbobxtxkou0nkmz.jpg",2021-03-24T16:00:00Z,"Gardening is all about experience, which makes getting started more than a little intimidating. Even something as simple as planting tomatoes brings up a million questions if you havent done it befor… [+2427 chars]"
wired,"John Timmer, Ars Technica",How Food Waste Could Be Turned Into Climate-Friendly Jet Fuel,Humans dump an estimated 10 billion gallons of potential biofuel into landfills every year. Researchers found a way to capitalize on it.,https://www.wired.com/story/could-food-waste-be-a-climate-friendly-source-of-jet-fuel/,"https://media.wired.com/photos/6053b4a8b34d9e8516d448c4/191:100/w_1280,c_limit/Science_foodwaste_fuel-1306598861.jpg",2021-03-19T13:00:00Z,"For many uses, liquid fuels remain the most practical energy supplyaircraft and large ships being obvious examples. It's possible to produce biofuels for these applications. But so far no one's been … [+4094 chars]"
the-verge,Justine Calma,Retail giants look to greener cargo ships to meet climate goals,Global shipping giant Maersk recently sped up its timeline to develop “carbon neutral” vessels. The company is working with retailers that have set goals to slash greenhouse gas emissions. It’s a sign that ambitious climate change goals can put pressure on th…,https://www.theverge.com/2021/3/16/22334173/retail-cargo-ships-climate-change-goals-maersk,https://cdn.vox-cdn.com/thumbor/V1TMxA479kMOVw3Eb9oUlURBMRA=/0x302:5472x3167/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22375046/1179330572.jpg,2021-03-16T17:58:10Z,"Retailers climate commitments put pressure on supply chains
Tugboats guide a container ship of Maersk Line at the Yangshan Deepwater Port, operated by Shanghai International Port.
Photo by Ji Haixi… [+7437 chars]"
